BF,BFactions,D,EL,Delta_AIQ,HCI,t,Significant,AGNT1,AGNT2
BF,5,1,10000,0.9,0.6,2.87,yes,HLQλD,HLQλC
BF,5,1,10000,1.3,1.1,2.33,yes,HLQλD,DualDQC
BF,5,1,10000,1.5,1.1,2.75,yes,HLQλD,DQD
BF,5,1,10000,1.6,0.6,5.10,yes,HLQλD,QλD
BF,5,1,10000,2.4,1.1,4.28,yes,HLQλD,DualDQD
BF,5,1,10000,3.6,0.6,11.29,yes,HLQλD,Q0D
BF,5,1,10000,4.7,0.6,14.97,yes,HLQλD,QλC
BF,5,1,10000,5.8,1.1,10.20,yes,HLQλD,DQC
BF,5,1,10000,6.3,0.6,20.25,yes,HLQλD,Q0C
BF,5,1,10000,7.4,0.6,24.16,yes,HLQλD,PPO
BF,5,1,10000,11.8,0.6,37.00,yes,HLQλD,FreqC
BF,5,1,10000,11.9,0.6,36.32,yes,HLQλD,FreqD
BF,5,1,10000,17.1,0.5,61.16,yes,HLQλD,VPG
BF,5,1,10000,0.4,1.1,0.72,no,HLQλC,DualDQC
BF,5,1,10000,0.6,1.1,1.10,no,HLQλC,DQD
BF,5,1,10000,0.7,0.6,2.23,yes,HLQλC,QλD
BF,5,1,10000,1.5,1.1,2.68,yes,HLQλC,DualDQD
BF,5,1,10000,2.7,0.6,8.47,yes,HLQλC,Q0D
BF,5,1,10000,3.8,0.6,12.10,yes,HLQλC,QλC
BF,5,1,10000,4.9,1.1,8.62,yes,HLQλC,DQC
BF,5,1,10000,5.4,0.6,17.36,yes,HLQλC,Q0C
BF,5,1,10000,6.5,0.6,21.22,yes,HLQλC,PPO
BF,5,1,10000,10.9,0.6,34.18,yes,HLQλC,FreqC
BF,5,1,10000,11.0,0.6,33.57,yes,HLQλC,FreqD
BF,5,1,10000,16.2,0.5,57.94,yes,HLQλC,VPG
BF,5,1,10000,0.2,1.4,0.28,no,DualDQC,DQD
BF,5,1,10000,0.3,1.1,0.54,no,DualDQC,QλD
BF,5,1,10000,1.1,1.4,1.52,no,DualDQC,DualDQD
BF,5,1,10000,2.3,1.1,4.10,yes,DualDQC,Q0D
BF,5,1,10000,3.4,1.1,6.09,yes,DualDQC,QλC
BF,5,1,10000,4.5,1.4,6.15,yes,DualDQC,DQC
BF,5,1,10000,5.0,1.1,8.98,yes,DualDQC,Q0C
BF,5,1,10000,6.1,1.1,11.01,yes,DualDQC,PPO
BF,5,1,10000,10.5,1.1,18.72,yes,DualDQC,FreqC
BF,5,1,10000,10.6,1.1,18.73,yes,DualDQC,FreqD
BF,5,1,10000,15.8,1.1,29.28,yes,DualDQC,VPG
BF,5,1,10000,0.1,1.1,0.18,no,DQD,QλD
BF,5,1,10000,0.9,1.4,1.26,no,DQD,DualDQD
BF,5,1,10000,2.1,1.1,3.83,yes,DQD,Q0D
BF,5,1,10000,3.2,1.1,5.86,yes,DQD,QλC
BF,5,1,10000,4.3,1.4,5.95,yes,DQD,DQC
BF,5,1,10000,4.8,1.1,8.82,yes,DQD,Q0C
BF,5,1,10000,5.9,1.1,10.90,yes,DQD,PPO
BF,5,1,10000,10.3,1.1,18.77,yes,DQD,FreqC
BF,5,1,10000,10.4,1.1,18.78,yes,DQD,FreqD
BF,5,1,10000,15.6,1.0,29.61,yes,DQD,VPG
BF,5,1,10000,0.8,1.1,1.43,no,QλD,DualDQD
BF,5,1,10000,2.0,0.6,6.27,yes,QλD,Q0D
BF,5,1,10000,3.1,0.6,9.87,yes,QλD,QλC
BF,5,1,10000,4.2,1.1,7.39,yes,QλD,DQC
BF,5,1,10000,4.7,0.6,15.11,yes,QλD,Q0C
BF,5,1,10000,5.8,0.6,18.94,yes,QλD,PPO
BF,5,1,10000,10.2,0.6,31.98,yes,QλD,FreqC
BF,5,1,10000,10.3,0.6,31.43,yes,QλD,FreqD
BF,5,1,10000,15.5,0.5,55.43,yes,QλD,VPG
BF,5,1,10000,1.2,1.1,2.13,yes,DualDQD,Q0D
BF,5,1,10000,2.3,1.1,4.11,yes,DualDQD,QλC
BF,5,1,10000,3.4,1.4,4.63,yes,DualDQD,DQC
BF,5,1,10000,3.9,1.1,6.98,yes,DualDQD,Q0C
BF,5,1,10000,5.0,1.1,8.99,yes,DualDQD,PPO
BF,5,1,10000,9.4,1.1,16.70,yes,DualDQD,FreqC
