BF,BFactions,D,EL,Delta_AIQ,HCI,t,Significant,AGNT1,AGNT2
BF,5,1,10000,1.3,1.1,2.33,yes,HLQλD,DualDQC
BF,5,1,10000,1.7,0.6,5.21,yes,HLQλD,HLQλC
BF,5,1,10000,2.1,1.1,3.83,yes,HLQλD,DQD
BF,5,1,10000,3.5,1.0,6.71,yes,HLQλD,DualDQD
BF,5,1,10000,5.6,0.6,18.53,yes,HLQλD,QλD
BF,5,1,10000,6.1,1.1,10.50,yes,HLQλD,DQC
BF,5,1,10000,7.0,0.6,23.01,yes,HLQλD,Q0D
BF,5,1,10000,7.4,0.6,24.16,yes,HLQλD,PPO
BF,5,1,10000,9.9,0.7,29.22,yes,HLQλD,QλC
BF,5,1,10000,11.6,0.7,34.62,yes,HLQλD,Q0C
BF,5,1,10000,11.8,0.6,37.00,yes,HLQλD,FreqC
BF,5,1,10000,15.5,0.6,49.37,yes,HLQλD,FreqD
BF,5,1,10000,33.5,0.5,129.96,yes,HLQλD,VPG
BF,5,1,10000,0.4,1.1,0.71,no,DualDQC,HLQλC
BF,5,1,10000,0.8,1.4,1.12,no,DualDQC,DQD
BF,5,1,10000,2.2,1.4,3.16,yes,DualDQC,DualDQD
BF,5,1,10000,4.3,1.1,7.80,yes,DualDQC,QλD
BF,5,1,10000,4.8,1.5,6.47,yes,DualDQC,DQC
BF,5,1,10000,5.7,1.1,10.31,yes,DualDQC,Q0D
BF,5,1,10000,6.1,1.1,11.01,yes,DualDQC,PPO
BF,5,1,10000,8.6,1.1,15.02,yes,DualDQC,QλC
BF,5,1,10000,10.3,1.1,18.06,yes,DualDQC,Q0C
BF,5,1,10000,10.5,1.1,18.72,yes,DualDQC,FreqC
BF,5,1,10000,14.2,1.1,25.44,yes,DualDQC,FreqD
BF,5,1,10000,32.2,1.0,60.92,yes,DualDQC,VPG
BF,5,1,10000,0.4,1.1,0.72,no,HLQλC,DQD
BF,5,1,10000,1.8,1.0,3.40,yes,HLQλC,DualDQD
BF,5,1,10000,3.9,0.6,12.39,yes,HLQλC,QλD
BF,5,1,10000,4.4,1.2,7.49,yes,HLQλC,DQC
BF,5,1,10000,5.3,0.6,16.73,yes,HLQλC,Q0D
BF,5,1,10000,5.7,0.6,17.88,yes,HLQλC,PPO
BF,5,1,10000,8.2,0.7,23.41,yes,HLQλC,QλC
BF,5,1,10000,9.9,0.7,28.56,yes,HLQλC,Q0C
BF,5,1,10000,10.1,0.6,30.51,yes,HLQλC,FreqC
BF,5,1,10000,13.8,0.6,42.31,yes,HLQλC,FreqD
BF,5,1,10000,31.8,0.5,116.68,yes,HLQλC,VPG
BF,5,1,10000,1.4,1.3,2.03,yes,DQD,DualDQD
BF,5,1,10000,3.5,1.1,6.47,yes,DQD,QλD
BF,5,1,10000,4.0,1.4,5.45,yes,DQD,DQC
BF,5,1,10000,4.9,1.1,9.03,yes,DQD,Q0D
BF,5,1,10000,5.3,1.1,9.75,yes,DQD,PPO
BF,5,1,10000,7.8,1.1,13.87,yes,DQD,QλC
BF,5,1,10000,9.5,1.1,16.96,yes,DQD,Q0C
BF,5,1,10000,9.7,1.1,17.61,yes,DQD,FreqC
BF,5,1,10000,13.4,1.1,24.46,yes,DQD,FreqD
BF,5,1,10000,31.4,1.0,60.65,yes,DQD,VPG
BF,5,1,10000,2.1,1.0,4.08,yes,DualDQD,QλD
BF,5,1,10000,2.6,1.4,3.64,yes,DualDQD,DQC
BF,5,1,10000,3.5,1.0,6.79,yes,DualDQD,Q0D
BF,5,1,10000,3.9,1.0,7.55,yes,DualDQD,PPO
BF,5,1,10000,6.4,1.1,11.92,yes,DualDQD,QλC
BF,5,1,10000,8.1,1.0,15.16,yes,DualDQD,Q0C
BF,5,1,10000,8.3,1.0,15.83,yes,DualDQD,FreqC
BF,5,1,10000,12.0,1.0,23.01,yes,DualDQD,FreqD
BF,5,1,10000,30.0,1.0,61.27,yes,DualDQD,VPG
BF,5,1,10000,0.5,1.1,0.87,no,QλD,DQC
BF,5,1,10000,1.4,0.6,4.79,yes,QλD,Q0D
BF,5,1,10000,1.8,0.6,6.12,yes,QλD,PPO
BF,5,1,10000,4.3,0.6,13.11,yes,QλD,QλC
BF,5,1,10000,6.0,0.6,18.51,yes,QλD,Q0C
BF,5,1,10000,6.2,0.6,20.17,yes,QλD,FreqC
BF,5,1,10000,9.9,0.6,32.76,yes,QλD,FreqD
BF,5,1,10000,27.9,0.5,114.68,yes,QλD,VPG
BF,5,1,10000,0.9,1.1,1.56,no,DQC,Q0D
BF,5,1,10000,1.3,1.1,2.25,yes,DQC,PPO
BF,5,1,10000,3.8,1.2,6.39,yes,DQC,QλC
BF,5,1,10000,5.5,1.2,9.28,yes,DQC,Q0C
BF,5,1,10000,5.7,1.1,9.77,yes,DQC,FreqC
BF,5,1,10000,9.4,1.1,16.19,yes,DQC,FreqD
BF,5,1,10000,27.4,1.1,49.60,yes,DQC,VPG
